created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 06 23:56:42 +0000 2023;1732549656952148154;"@AriPasaran @BangPino__ Tapi emang begitu caranya mendesak. Desak terus sampai jawabannya memuaskan. Sekarang pertanyaannya, abang udah puas dengan jawaban Pak Anies?";0;0;0;1;in;1306996668;1732383719959507067;shinchsan;https://twitter.com/shinchsan/status/1732549656952148154
Wed Dec 06 23:56:36 +0000 2023;1732549633501745513;"@Metro_TV @aniesbaswedan Pk Anies udah paket lengkap";0;0;0;0;in;1707002893591863296;1732288262721692085;Sonraa0;https://twitter.com/Sonraa0/status/1732549633501745513
Wed Dec 06 23:56:33 +0000 2023;1732549620159640026;"@tvOneNews Ide gagasan anies imin cuma akan akaan dan akaan.. klo Pak Prabowo sudah mulai inplementasi. Ya jauh lah, jadi wajar anies melalui tatakatanya serang 02.";0;0;0;0;in;1411381036475322368;1732237732758618306;coldbrew165;https://twitter.com/coldbrew165/status/1732549620159640026
Wed Dec 06 23:56:11 +0000 2023;1732549529533292837;"@golkar_id @prabowo @gibran_tweet Bersama sama kawal Anies";0;0;0;0;in;1261809883290259457;1732289381657129325;AkuSukses8;https://twitter.com/AkuSukses8/status/1732549529533292837
Wed Dec 06 23:55:35 +0000 2023;1732549376600641614;"@thedufresne Saya yakin itu bisa diatasi semua kalau Anies jadi presiden....😁";0;1;0;0;in;482871306;1732422551794757668;fx_raptor;https://twitter.com/fx_raptor/status/1732549376600641614
Wed Dec 06 23:55:33 +0000 2023;1732549367574462687;"@Metro_TV @aniesbaswedan Ga akan pernah bosan dukung pak Anies";0;0;0;0;in;1705451238882791427;1732288262721692085;Ganraa0;https://twitter.com/Ganraa0/status/1732549367574462687
Wed Dec 06 23:55:30 +0000 2023;1732549357642359026;"@Chaves1305 Wah anies gemoy juga.. Jadi bingung ga si??";0;0;0;0;in;1604249568233000960;1732307996766822456;hewentbananas;https://twitter.com/hewentbananas/status/1732549357642359026
Wed Dec 06 23:55:05 +0000 2023;1732549251929170371;"@Resty_J_Cayah Saya juga dua kali pilih Prabowo Subianto,bahkan hampir 3 kali sebelum ambil Gibran jadi cawapres,saya putuskan sekeluarga milih pak Anies";0;2;5;67;in;1062533580759265281;1732465908248150293;IlhamRamaSetia2;https://twitter.com/IlhamRamaSetia2/status/1732549251929170371
Wed Dec 06 23:54:54 +0000 2023;1732549204059553848;"@Metro_TV @aniesbaswedan Keren jawabannya pak anies";0;0;0;0;in;1623173832814243844;1732288262721692085;monoIoid;https://twitter.com/monoIoid/status/1732549204059553848
Wed Dec 06 23:54:50 +0000 2023;1732549189010354609;"@tvOneNews Sukses selalu untuk Pak Anies Baswedan";0;0;0;0;in;1722878901331058688;1732311204214067518;tabbasaam;https://twitter.com/tabbasaam/status/1732549189010354609
